raga_name|kriti_name|composer_name|Link
kharaharapriya|Pahi Rama Rama Yanucu|Tyagaraja|
kharaharapriya|Pakkala Nilabadi Golice|Tyagaraja|
kharaharapriya|Parameshvara Palayashu|M. Balamuralikrishna|
kharaharapriya|Paramukham Enayya|Papanasam Sivan|
kharaharapriya|Peridi Ninu Bencinavarevre|Tyagaraja|
kharaharapriya|Ragam Tanam Pallavi|Own/others|
kharaharapriya|Rama Idi Samayamu|Ambujam krishna|
kharaharapriya|Rama Niyeda Prema Rahitulaku|Tyagaraja|
kharaharapriya|Rama Ni Samanamevaru|Tyagaraja|
kharaharapriya|Sankalpam Ettido|Patnam Subramania Iyer|
kharaharapriya|Sarasvati Annaiye|Papanasam Sivan|
kharaharapriya|Satatam Tavaka|Swathi Thirunal Rama Varma|
kharaharapriya|Sharanagata Vatsala|Muthiah Bhagavatar|
kharaharapriya|Shendil Andavan|Papanasam Sivan|
kharaharapriya|Shrinivasa Tava|Papanasam Sivan|
kharaharapriya|Shri Sharadambike|Lalitha Dasa|
kharaharapriya|Tyagarajaswami|Tiruvettiyur Tyaagayya|
kharaharapriya|Videmu Seyave Nannu Vidnadakuve|Tyagaraja|
umabharana|Hayagreeva Agastya|Muthiah Bhagavatar|
umabharana|Nija Marmamulanu Delisina|Tyagaraja|
mararanjani|Malaginen Velava|Koteeswara Iyer|
mararanjani|Manasa Shri Ramuni Dayaleka|Tyagaraja|
bageshri|Gopala Bhaktim Dehi|Swathi Thirunal Rama Varma|
bageshri|Ragam Tanam Pallavi|Own/others|
bageshri|Tillana|Lalgudi Jayaraman|
bageshri|Vilaiyada Mayilum Undu|Madurai Gs Mani|
naganandini|Daksayani Raksamam|M. Balamuralikrishna|
naganandini|Nayen Unaiye|Koteeswara Iyer|
naganandini|Sattaleni Dinamulu Vaccena|Tyagaraja|
kantamani|Bhuvaneshvari Pahimam|M. Balamuralikrishna|
kantamani|Edari Sancarintura|Tyagaraja|
kantamani|Nadasukham|Koteeswara Iyer|
kantamani|Palintuvo Palimpava|Tyagaraja|
kantamani|Ragam Tanam Pallavi|Own/others|
bhogavasantam|Amba Shri Rajarajeshvari|Jayachamarajendra Wadiyar|
varunapriya|Shrngara Kumara|Koteeswara Iyer|
sindhubhairavi|Chandrashekharam|Madurai Gs Mani|
sindhubhairavi|Chidambaranai Digambaranai|Madurai Gs Mani|
sindhubhairavi|Karunai Deivame|Madurai Srinivasan|
sindhubhairavi|Kuvi Azhaikka Kudada|Papanasam Sivan|
sindhubhairavi|Manadirku Ughandadu|Tanjavur Sankara Iyer|
sindhubhairavi|Mavoor Valam|Muthiah Bhagavatar|
sindhubhairavi|Nadhrudhru Dhim|Poochi Srinivasa Iyengar|
sindhubhairavi|Nadhru Dhru Dhim|Patnam Subramania Iyer|
sindhubhairavi|Pankajaksa Pahi|R. Ramachandran Nair|
sindhubhairavi|Pranata Jana|Indira Natesan|
sindhubhairavi|Ragam Tanam Pallavi|Own/others|
sindhubhairavi|Ramacandra Prabhu|Swathi Thirunal Rama Varma|
sindhubhairavi|Ta Tai Enraduvar|Gopalakrishna Bharati|
sindhubhairavi|Tillana|Lalgudi Jayaraman|
sindhubhairavi|Vishveshvar Darsan Kar|Swathi Thirunal Rama Varma|
shuddhavasanta|Soma Sundareshvaram|Muthuswami Dikshitar|
pratapavarali|Bhuri Bhagyalahari|Jayachamarajendra Wadiyar|
pratapavarali|Vina Nashakoni Yunnanura|Tyagaraja|
dhatuvardhani|Matangi Marakatangi|Muthuswami Dikshitar|
dhatuvardhani|Sukhakara|Koteeswara Iyer|
sugunabhusani|Bhajare Manasa Shri|Patnam Subramania Iyer|
bhupala|Shambho Mahadeva 1|Neelakanta Sivan|
bhupala|Gopalaka Pahimam|Swathi Thirunal Rama Varma|
bhupala|Kadamba Vanavasini|Muthiah Bhagavatar|
bhupala|Ragam Tanam Pallavi|Own/others|
bhupala|Sadacaleshvaram Bhavayeham|Muthuswami Dikshitar|
mahati|Mahaniya Madhura|M. Balamuralikrishna|
hindolavasanta|Padaravindame|Ambujam krishna|
hindolavasanta|Rara Sita Ramani Manohara|Tyagaraja|
hindolavasanta|Santana Ramasvaminam|Muthuswami Dikshitar|
pilu|Kanbadenro Nam|Periyasaamy Thooran|
pahadi|Parama Purushham Bho|Muthiah Bhagavatar|
pahadi|Tillana|Lalgudi Jayaraman|
divyamani|Appa Murugayyane|Koteeswara Iyer|
abheri|Balasubramanyam Bhajeham|Muthiah Bhagavatar|
abheri|Bhajare Re Manasa Shri|Mysore Vasudevachar|
abheri|Eeshwari Rajeshwari|Muthiah Bhagavatar|
abheri|Gokula Nilaya Krpalaya|Mysore Vasudevachar|
abheri|Kanda Vandarul|Papanasam Sivan|
abheri|Nagumomu Ganaleni|Tyagaraja|
